ID.,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,E3,休,夜,休,E3,長,E3,休,日,E3,E3,E3,休,夜,休,長,N4,休,休,休,休,休,夜,休,E3,長,休,E3,E3,長,E3
B,休,長,長,E3,休,夜,休,長,N4,E3,休,休,休,休,E3,休,夜,休,E3,長,E3,長,休,E3,休,休,夜,休,長,N4,E3
C,休,休,夜,休,E3,長,E3,休,E3,E3,休,夜,休,E3,長,E3,休,休,休,休,夜,休,E3,長,E3,E3,休,夜,休,E3,N4
D,長,休,夜,休,E3,長,日,休,休,休,休,夜,休,長,N4,E3,E3,E3,休,休,夜,休,E3,長,休,E3,E3,E3,休,夜,休
E,長,E3,休,休,休,休,夜,休,長,N4,長,休,休,E3,休,夜,休,E3,長,休,E3,E3,E3,休,夜,休,長,N4,休,夜,休
F,休,E3,休,休,休,休,E3,休,夜,休,E3,長,E3,E3,E3,休,休,夜,休,E3,長,E3,長,休,E3,休,夜,休,E3,長,E3
G,夜,休,長,N4,E3,E3,休,E3,休,夜,休,E3,長,長,休,E3,E3,休,夜,休,E3,長,休,休,休,休,休,夜,休,E3,E3
H,E3,休,長,E3,休,休,夜,休,E3,長,E3,休,休,休,休,夜,休,E3,長,E3,E3,E3,休,E3,休,夜,休,E3,長,休,夜
I,E3,長,休,休,休,休,休,E3,E3,日,E3,休,休,夜,休,E3,長,長,休,休,長,休,夜,休,E3,長,E3,休,夜,休,夜
J,長,休,E3,長,E3,E3,休,夜,休,E3,長,E3,E3,休,休,休,休,休,E3,E3,休,夜,休,E3,長,休,休,夜,休,E3,E3
K,夜,休,E3,長,休,休,E3,E3,休,夜,休,E3,長,E3,休,休,休,休,休,夜,休,E3,長,E3,E3,休,休,長,E3,E3,E3
L,E3,E3,休,夜,休,長,N4,休,E3,E3,E3,休,夜,休,E3,長,E3,休,休,休,休,夜,休,E3,長,E3,E3,休,E3,長,休
M,休,長,E3,E3,休,休,夜,休,E3,長,休,長,E3,E3,長,休,夜,休,E3,長,E3,E3,E3,休,休,休,休,夜,休,夜,休
N,休,夜,休,E3,長,E3,休,長,休,休,夜,休,E3,長,E3,E3,E3,休,休,休,休,夜,休,E3,長,E3,E3,E3,休,夜,休
O,E3,E3,休,夜,休,E3,長,E3,長,休,E3,E3,E3,休,夜,休,E3,長,休,休,休,休,休,夜,休,E3,長,日,E3,E3,休
P,休,E3,E3,休,休,休,休,夜,休,E3,長,長,E3,休,E3,休,夜,休,E3,長,E3,E3,長,休,休,夜,休,E3,長,休,夜
Q,休,夜,休,E3,長,E3,休,E3,休,休,休,休,休,休,夜,休,E3,長,E3,E3,休,長,休,夜,休,E3,長,E3,休,E3,長
R,休,夜,休,E3,長,休,長,E3,休,休,休,休,休,夜,休,E3,長,E3,E3,E3,休,休,夜,休,E3,長,E3,休,夜,休,日
S,夜,休,E3,長,E3,E3,E3,休,休,夜,休,E3,長,E3,E3,長,休,E3,休,休,夜,休,E3,長,休,休,休,休,夜,休,長
T,E3,E3,E3,休,夜,休,E3,長,E3,休,休,休,休,休,休,夜,休,E3,長,E3,長,休,E3,休,夜,休,E3,長,E3,休,夜
